postcode,title,query_postcode,district,municipality,locality,lat,lng
4740-163,Feital,4740-163,Braga,Esposende,Belinho,41.592735,-8.781396
4910-453,Praça da República,4910-453,Viana do Castelo,Caminha,Vila Praia de Âncora,41.813801,-8.862527
7040-031,Rua Brás Mateus,7040-031,Évora,Arraiolos,Arraiolos,38.726089,-7.983800
2750-475,Rotunda Comendador Joaquim Baraona,2750-475,Lisboa,Cascais,Cascais,38.694529,-9.431362
1050-156,Avenida Marquês de Tomar,1050-156,Lisboa,Nossa Senhora de Fátima,Nossa Senhora de Fátima,38.737655,-9.149751
2150-194,Rua Heliodoro Salgado,2150-194,Santarém,Golegã,Golegã,39.401751,-8.480726
1950-314,Rua Cintura do Porto,1950-314,Lisboa,Marvila,Marvila,38.747282,-9.097068
6060-021,Aldeia de Santa Margarida,6060-021,Castelo Branco,Idanha-a-Nova,Aldeia de Santa Margarida,40.061422,-7.277932
4480-172,Rua Nossa Senhora das Neves,4480-172,Porto,Vila do Conde,Azurara,41.344076,-8.735969
8400-329,Rua Visconde de Lagoa,8400-329,Faro,Lagoa (Algarve),Lagoa,37.135694,-8.450935
2520-316,Rua da Fonte do Rosário,2520-316,Leiria,Peniche,Ajuda,39.366301,-9.383546
4465-738,Avenida Rodrigues Vieira,4465-738,Porto,Matosinhos,Leça do Balio,41.217762,-8.640644
2655-089,Alto da Costa,2655-089,Lisboa,Mafra,Carvoeira,38.960376,-9.401118
6270-537,Travessa Eduardo Correia,6270-537,Guarda,Seia,Seia,40.419827,-7.704784
7470-113,Largo da República,7470-113,Portalegre,Sousel,Casa Branca,41.050575,-8.652336
4970-745,Urbanização Condessa,4970-745,Viana do Castelo,Arcos de Valdevez,Vila Fonche,41.973633,-8.374169
4910-359,Fornas,4910-359,Viana do Castelo,Caminha,Venade,41.854546,-8.823638
4400-480,Praceta José Fernandes Caldas,4400-480,Porto,Vila Nova de Gaia,São Pedro da Afurada,41.140011,-8.635337
8000-353,Rua Gago Coutinho,8000-353,Faro,São Pedro,São Pedro,37.023073,-7.937939
2870-512,Pinhal do Monte,2870-512,Setúbal,Montijo,Sarilhos Grandes,38.682289,-8.959555
4200-438,Rua Particular da Tapada de Santo António,4200-438,Porto,Paranhos,Paranhos,41.163724,-8.593645
4455-400,Rua Oriental,4455-400,Porto,Matosinhos,Perafita,41.224454,-8.692340
3080-136,Largo Pereira dos Santos,3080-136,Coimbra,Figueira da Foz,São Julião (Figueira da Foz),40.153693,-8.857246
6100-486,Ereira,6100-486,Castelo Branco,Sertã,Palhais,39.771411,-8.168677
7300-211,Rua 31 de Janeiro,7300-211,Portalegre,São Lourenço,São Lourenço,39.293382,-7.431236
2775-255,Rua Almirante Nunes da Mata,2775-255,Lisboa,Cascais,Parede,38.688518,-9.358492
2910-575,Rua José Pedro da Silva,2910-575,Setúbal,São Sebastião,São Sebastião,38.526535,-8.884952
1300-426,Rua Nova do Calhariz,1300-426,Lisboa,Ajuda,Ajuda,38.702522,-9.196163
2970-399,Rua das Figueiras,2970-399,Setúbal,Sesimbra,Castelo (Sesimbra),38.431117,-9.189443
2690-395,Rua Zeca Afonso,2690-395,Lisboa,Loures,Santa Iria de Azoia,38.843675,-9.088753
2530-174,Travessa dos Valados,2530-174,Lisboa,Lourinhã,Lourinhã,39.241633,-9.314782
4900-785,Rua das Pontes,4900-785,Viana do Castelo,Meadela,Meadela,41.705192,-8.791870
4200-289,Rua de Faria Guimarães,4200-289,Porto,Paranhos,Paranhos,41.167437,-8.606444
8000-371,Rua João Tomás da Costa,8000-371,Faro,São Pedro,São Pedro,37.019621,-7.938754
4100-027,Rua Doutor Alberto de Macedo,4100-027,Porto,Ramalde,Ramalde,41.167250,-8.655164
4805-041,Rua 5 de Outubro,4805-041,Braga,Guimarães,Brito,41.456018,-8.360454
4940-402,Bazanca,4940-402,Viana do Castelo,Paredes de Coura,Padornelo,41.925818,-8.542162
4925-586,Caminho do Carvalhal,4925-586,Viana do Castelo,Perre,Perre,41.726034,-8.791811
2560-060,Casal dos Feros,2560-060,Lisboa,Torres Vedras,A dos Cunhados,39.130251,-9.368575
3810-843,Rua do Lamarão,3810-843,Aveiro,Oliveirinha,Oliveirinha,40.579609,-8.614030
5360-493,Vilas Boas,5360-493,Bragança,Vila Flor,Vilas Boas,41.347800,-7.196473
2530-826,Rua do Cabecinho,2530-826,Lisboa,Lourinhã,Vimeiro,39.176765,-9.320365
9020-398,Ladeira das Courelas,9020-398,Madeira,Funchal,Santo António,32.677555,-16.936813
2775-192,Rua Luís Cerqueira,2775-192,Lisboa,Cascais,Parede,38.694726,-9.348366
2450-362,Rua do Norte,2450-362,Leiria,Nazaré,Valado dos Frades,39.586766,-9.023164
2735-570,Praça Cidade de Omura,2735-570,Lisboa,Sintra,São Marcos,38.763859,-9.300432
5160-217,Avenida dos Combatentes da Grande Guerra,5160-217,Bragança,Torre de Moncorvo,Torre de Moncorvo,41.170721,-7.055255
2655-098,Rua da Mineira,2655-098,Lisboa,Mafra,Carvoeira,38.951092,-9.401869
3430-039,Avenida Nossa Senhora Febres,3430-039,Viseu,Carregal do Sal,Currelos,40.427980,-8.011577
7630-775,Rua das Flores,7630-775,Beja,Odemira,Zambujeira do Mar,37.580200,-8.664660
4970-620,Remédios,4970-620,Viana do Castelo,Arcos de Valdevez,São Paio Arcos Valdevez,41.919377,-8.467795
4465-697,Rua Monte do Vale,4465-697,Porto,Matosinhos,Leça do Balio,41.212253,-8.636306
